Ligand.ApprovedSymbol,Receptor.ApprovedSymbol,Ligand.ApprovedSymbol,Receptor.ApprovedSymbol
FIGF,FLT4,Figf,Flt4
FIGF,KDR,Figf,Kdr
FIGF,NRP2,Figf,Nrp2
FLT3LG,FLT3,Flt3lg,Flt3
FN1,ITGA2,Fn1,Itga2
FN1,ITGA2B,Fn1,Itga2b
FN1,ITGA4,Fn1,Itga4
FN1,ITGA5,Fn1,Itga5
FN1,ITGA8,Fn1,Itga8
FN1,ITGB1,Fn1,Itgb1
FN1,ITGB3,Fn1,Itgb3
FN1,ITGB6,Fn1,Itgb6
FN1,ITGB8,Fn1,Itgb8
FN1,SDC2,Fn1,Sdc2
FSHB,FSHR,Fshb,Fshr
GALP,GALR1,Galp,Galr1
GALP,GALR2,Galp,Galr2
GALP,GALR3,Galp,Galr3
GAL,GALR1,Gal,Galr1
GAL,GALR2,Gal,Galr2
GAL,GALR3,Gal,Galr3
GAS6,AXL,Gas6,Axl
GAS6,MERTK,Gas6,Mertk
GAS6,TYRO3,Gas6,Tyro3
GAST,CCKBR,Gast,Cckbr
GCG,GCGR,Gcg,Gcgr
GCG,GLP1R,Gcg,Glp1r
GCG,GLP2R,Gcg,Glp2r
GDF11,ACVR1B,Gdf11,Acvr1b
GDF11,ACVR2A,Gdf11,Acvr2a
GDF11,ACVR2B,Gdf11,Acvr2b
GDF2,ACVRL1,Gdf2,Acvrl1
GDF5,BMPR1B,Gdf5,Bmpr1b
GDF5,BMPR2,Gdf5,Bmpr2
GDF5,ROR2,Gdf5,Ror2
GDF6,BMPR1A,Gdf6,Bmpr1a
GDF6,BMPR2,Gdf6,Bmpr2
GDF7,ACVR2A,Gdf7,Acvr2a
GDF7,BMPR1A,Gdf7,Bmpr1a
GDF7,BMPR2,Gdf7,Bmpr2
GDF9,BMPR2,Gdf9,Bmpr2
GDF9,TGFBR1,Gdf9,Tgfbr1
GDNF,GFRA1,Gdnf,Gfra1
GDNF,GFRA2,Gdnf,Gfra2
GDNF,RET,Gdnf,Ret
GH1,GHR,Gh1,Ghr
GH2,GHR,Gh2,Ghr
GHRH,GHRHR,Ghrh,Ghrhr
GHRH,VIPR1,Ghrh,Vipr1
GHRL,GHSR,Ghrl,Ghsr
GHRL,GPR39,Ghrl,Gpr39
GIP,GIPR,Gip,Gipr
GNRH1,GNRHR,Gnrh1,Gnrhr
GNRH2,GNRHR,Gnrh2,Gnrhr
GPHA2,TSHR,Gpha2,Tshr
GPI,AMFR,Gpi,Amfr
GRP,GRPR,Grp,Grpr
GSTP1,TRAF2,Gstp1,Traf2
GUCA2A,GUCY2C,Guca2a,Gucy2c
GUCA2B,GUCY2C,Guca2b,Gucy2c
GZMB,IGF2R,Gzmb,Igf2r
HAS2,CD44,Has2,Cd44
HAS2,HMMR,Has2,Hmmr
HBEGF,EGFR,Hbegf,Egfr
HBEGF,ERBB4,Hbegf,Erbb4
HCRT,HCRTR1,Hcrt,Hcrtr1
HCRT,HCRTR2,Hcrt,Hcrtr2
HEBP1,FPR3,Hebp1,Fpr3
HGF,MET,Hgf,Met
HLA-A,KIR3DL2,Hla-a,Kir3dl2
HLA-B,KIR3DL1,Hla-b,Kir3dl1
HLA-C,KIR2DL1,Hla-c,Kir2dl1
HLA-C,KIR2DL3,Hla-c,Kir2dl3
HLA-C,KIR2DS4,Hla-c,Kir2ds4
HLA-E,KLRC1,Hla-e,Klrc1
HLA-E,KLRC2,Hla-e,Klrc2
HLA-E,KLRD1,Hla-e,Klrd1
HLA-G,KIR2DL4,Hla-g,Kir2dl4
HLA-G,KLRC1,Hla-g,Klrc1
HLA-G,KLRD1,Hla-g,Klrd1
HLA-G,LILRB1,Hla-g,Lilrb1
HSPG2,PTPRS,Hspg2,Ptprs
IAPP,CALCR,Iapp,Calcr
ICAM1,ITGAL,Icam1,Itgal
ICAM1,ITGAX,Icam1,Itgax
ICAM1,ITGB2,Icam1,Itgb2
ICAM2,ITGAL,Icam2,Itgal
ICAM2,ITGB2,Icam2,Itgb2
ICAM3,ITGAL,Icam3,Itgal
ICAM3,ITGB2,Icam3,Itgb2
ICAM4,ITGA2B,Icam4,Itga2b
ICAM4,ITGAL,Icam4,Itgal
ICAM4,ITGAM,Icam4,Itgam
ICAM4,ITGAV,Icam4,Itgav
ICAM4,ITGB2,Icam4,Itgb2
ICAM4,ITGB3,Icam4,Itgb3
ICAM5,ITGAL,Icam5,Itgal
ICAM5,ITGB2,Icam5,Itgb2
IFNA10,IFNAR1,Ifna10,Ifnar1
IFNA10,IFNAR2,Ifna10,Ifnar2
IFNA13,IFNAR1,Ifna13,Ifnar1
IFNA13,IFNAR2,Ifna13,Ifnar2
IFNA14,IFNAR1,Ifna14,Ifnar1
IFNA14,IFNAR2,Ifna14,Ifnar2
IFNA16,IFNAR1,Ifna16,Ifnar1
IFNA16,IFNAR2,Ifna16,Ifnar2
IFNA17,IFNAR1,Ifna17,Ifnar1
IFNA17,IFNAR2,Ifna17,Ifnar2
IFNA1,IFNAR1,Ifna1,Ifnar1
IFNA1,IFNAR2,Ifna1,Ifnar2
IFNA21,IFNAR1,Ifna21,Ifnar1
IFNA21,IFNAR2,Ifna21,Ifnar2
IFNA2,IFNAR1,Ifna2,Ifnar1
IFNA2,IFNAR2,Ifna2,Ifnar2
IFNA4,IFNAR1,Ifna4,Ifnar1
IFNA4,IFNAR2,Ifna4,Ifnar2
IFNA5,IFNAR1,Ifna5,Ifnar1
IFNA5,IFNAR2,Ifna5,Ifnar2
IFNA6,IFNAR1,Ifna6,Ifnar1
IFNA6,IFNAR2,Ifna6,Ifnar2
IFNA7,IFNAR1,Ifna7,Ifnar1
IFNA7,IFNAR2,Ifna7,Ifnar2
IFNA8,IFNAR1,Ifna8,Ifnar1
IFNA8,IFNAR2,Ifna8,Ifnar2
IFNB1,IFNAR1,Ifnb1,Ifnar1
IFNB1,IFNAR2,Ifnb1,Ifnar2
IFNG,IFNGR1,Ifng,Ifngr1
IFNG,IFNGR2,Ifng,Ifngr2
IFNL1,IFNLR1,Ifnl1,Ifnlr1
IFNL1,IL10RB,Ifnl1,Il10rb
IFNL2,IFNLR1,Ifnl2,Ifnlr1
IFNL2,IL10RB,Ifnl2,Il10rb
IFNL3,IFNLR1,Ifnl3,Ifnlr1
IFNL3,IL10RB,Ifnl3,Il10rb
IFNW1,IFNAR1,Ifnw1,Ifnar1
IFNW1,IFNAR2,Ifnw1,Ifnar2
IGF1,IGF1R,Igf1,Igf1r
IGF2,IGF1R,Igf2,Igf1r
IGF2,IGF2R,Igf2,Igf2r
IGF2,INSR,Igf2,Insr
IHH,HHIP,Ihh,Hhip
IHH,PTCH1,Ihh,Ptch1
IL10,IL10RA,Il10,Il10ra
IL10,IL10RB,Il10,Il10rb
IL11,IL11RA,Il11,Il11ra
IL11,IL6ST,Il11,Il6st
IL12A,IL12RB1,Il12a,Il12rb1
IL12A,IL12RB2,Il12a,Il12rb2
IL12B,IL12RB1,Il12b,Il12rb1
IL12B,IL12RB2,Il12b,Il12rb2
IL13,IL13RA1,Il13,Il13ra1
IL13,IL13RA2,Il13,Il13ra2
IL13,IL2RG,Il13,Il2rg
IL13,IL4R,Il13,Il4r
IL15,IL15RA,Il15,Il15ra
IL15,IL2RB,Il15,Il2rb
IL15,IL2RG,Il15,Il2rg
IL16,CD4,Il16,Cd4
IL17A,IL17RA,Il17a,Il17ra
IL17B,IL17RB,Il17b,Il17rb
IL18,IL18R1,Il18,Il18r1
IL18,IL18RAP,Il18,Il18rap
IL18,IL1RAPL1,Il18,Il1rapl1
IL19,IL20RA,Il19,Il20ra
IL19,IL20RB,Il19,Il20rb
IL1A,IL1R1,Il1a,Il1r1
IL1A,IL1R2,Il1a,Il1r2
IL1B,IL1R1,Il1b,Il1r1
IL1B,IL1R2,Il1b,Il1r2
IL1B,IL1RAP,Il1b,Il1rap
IL1RN,IL1R1,Il1rn,Il1r1
IL1RN,IL1R2,Il1rn,Il1r2
IL20,IL20RA,Il20,Il20ra
IL20,IL20RB,Il20,Il20rb
IL20,IL22RA1,Il20,Il22ra1
IL21,IL21R,Il21,Il21r
